plant_species,type_plant,study,year
Sphagnum_sp,moss,McNeill et al.,2020
Splachnum_sphaericum,moss,Christopherson et al.,2019
Stellaria_longipes,forb,Bjorkvoll et al,2009
Stellaria_sp,forb,Shank et al,1978
Stereocaulon_alpinum,lichen,Johnson et al,2001
Stereocaulon_paschale,lichen,Cote,1998
Stereocaulon_paschale,lichen,Manseau et al.,1996
Stereocaulon_paschale,lichen,Skogland,1984
Stereocaulon_sp,lichen,Kojola et al,1995
Stereocaulon_sp,lichen,Schaefer and Pruitt,1991
Stereocaulon_sp,lichen,Scotter,1964
Stereocaulon_tomentosum,lichen,Joo et al,2014
Stereocaulon_tomentosum,lichen,Scotter,1964
Stereocaulon_sp,lichen,Ferguson et al.,2001
Stereocaulon_sp,lichen,Ferguson et al.,2001
Streptopus_amplexifolius,forb,Denryter et al.,2017
Thamnolia_sp,lichen,White and Trudell,1980
Thamnolia_subuliformis,lichen,Larter and Nagy,2004
Thamnolia_vermicularis,lichen,Shank et al,1978
Thamnolia_vernicularis,lichen,Manseau et al.,1996
Tiarella_trifoliata,forb,Rominger and Oldemeyer,1990
Tomentypnum_sp,moss,Bjune,2000
Trientalis_borealis,forb,Manseau et al.,1996
Trientalis_borealis,forb,McNeill et al.,2020
